Organization/Person Name,Organization/Person Name URL,Categories,Number of Investors,Number of Funding Rounds,Funding Status,Last Funding Amount ($),Last Funding Type,Total Funding Amount ($),Total Equity Funding Amount ($)
Concentric Medical,https://www.crunchbase.com/organization/concentric-medical,"Medical, Information Technology and Software",1,1,M&A,,Series A,,
Brite Health,https://www.crunchbase.com/organization/brite-health,"Artificial Intelligence, Data Visualization, Health Care",2,2,Seed,,Seed,,
Phylagen,https://www.crunchbase.com/organization/phylagen,"Big Data, Bioinformatics, Machine Learning",,,,,,,
Halo,https://www.crunchbase.com/organization/halo-5,"Crowdfunding, Health Care, Marketplace",,,,,,,
Sugarlogix,https://www.crunchbase.com/organization/sugarlogix,"Consumer Goods, Food and Beverage, Health Care",3,1,Seed,,Seed,,
MycoWorks,https://www.crunchbase.com/organization/mycoworks,Biotechnology,2,1,Seed,,Seed,,
Halcyon Molecular,https://www.crunchbase.com/organization/halcyon-molecular,Biotechnology,,,,,,,
Chiron Corporation,https://www.crunchbase.com/organization/chiron,Life Science,,,M&A,,,,
TeselaGen,https://www.crunchbase.com/organization/teselagen,Biotechnology,,,,,,,
Miraculex,https://www.crunchbase.com/organization/miraculex,"Food and Beverage, Nutrition",2,2,Seed,,Seed,,
OncoSynergy,https://www.crunchbase.com/organization/oncosynergy,"Health Care, Information Technology and Software, Therapeutics",3,1,M&A,,Series A,,
Clontech Laboratories Inc,https://www.crunchbase.com/organization/clontech-laboratories-inc,"Genetics, Medical",1,1,M&A,,Private Equity,,
Quantros,https://www.crunchbase.com/organization/quantros,Biotechnology,1,1,Private Equity,,Private Equity,,
Roche Molecular Systems,https://www.crunchbase.com/organization/roche-molecular-systems,Health Diagnostics,,,,,,,
Sentieon,https://www.crunchbase.com/organization/sentieon,"Bioinformatics, Consumer",2,1,Seed,,Seed,,
California Institute for Regenerative Medicine,https://www.crunchbase.com/organization/california-institute-for-regenerative-medicine,"Life Science, Medical",,,,,,,
5 Prime Ventures,https://www.crunchbase.com/organization/5-prime-ventures,Advanced Materials,,,,,,,
Molecular Devices,https://www.crunchbase.com/organization/molecular-devices,"Genetics, Information Technology and Software",,,M&A,,,,
Jungla Inc.,https://www.crunchbase.com/organization/jungla,"Genetics, Health Care, Health Diagnostics",2,2,Seed,,Seed,,
SpacePharma,https://www.crunchbase.com/organization/spacepharma,Biotechnology,1,1,Early Stage Venture,,Series A,,
QuantumCyte,https://www.crunchbase.com/organization/quantumcyte,"Life Science, Medical",2,2,Seed,,Convertible Note,,
Epitomics,https://www.crunchbase.com/organization/epitomics,Biotechnology,,,M&A,,,,
Dahlia Biosciences,https://www.crunchbase.com/organization/dahlia-biosciences,"Health Care, Medical",2,1,Seed,,Seed,,
Chimera Bioengineering,https://www.crunchbase.com/organization/chimera-bioengineering,"Bioinformatics, Genetics",3,2,Seed,,Seed,,
zPREDICTA,https://www.crunchbase.com/organization/ixchel-scientific,"Artificial Intelligence, Clinical Trials, Health Care, Machine Learning",4,1,Seed,,Seed,,
Velos,https://www.crunchbase.com/organization/velos,Management Information Systems,,,,,,,
Applied Biosystems,https://www.crunchbase.com/organization/applied-biosystems,"Health Care, Medical",,,M&A,,,,
Facet Biotech,https://www.crunchbase.com/organization/facet-biotech,Biotechnology,,,M&A,,,,
"Artveoli, Inc.",https://www.crunchbase.com/organization/artveoli-inc,"CleanTech, Hardware, Internet of Things",,2,Seed,,Seed,,
Luminist,https://www.crunchbase.com/organization/luminist,"Health Care, Health Diagnostics",7,1,Seed,,Seed,,
CinderBio,https://www.crunchbase.com/organization/cinderbio,"Chemical, Water",2,2,Seed,,Seed,,
DNALite Therapeutics,https://www.crunchbase.com/organization/dnalite-therapeutics,"Genetics, Health Care",2,2,Seed,,Seed,,
Radiant Genomics,https://www.crunchbase.com/organization/radiant-genomics,Biotechnology,,,M&A,,,,
Nodexus Inc.,https://www.crunchbase.com/organization/nodexus,Biopharma,3,2,Seed,,Seed,,
NDS Surgical Imaging,https://www.crunchbase.com/organization/nds-surgical-imaging,"DSP, Medical, Information Technology and Software",,,M&A,,,,
RUSNANO,https://www.crunchbase.com/organization/rusnano,"Nanotechnology, Small and Medium Businesses",,,,,,,
Genencor International,https://www.crunchbase.com/organization/genencor-international,"Genetics, Industrial, Innovation Management",,,,,,,
Archimedes,https://www.crunchbase.com/organization/archimedes,Biotechnology,,,M&A,,,,
Onyx Pharmaceuticals,https://www.crunchbase.com/organization/onyx-pharmaceuticals,Medical,,,M&A,,,,
GoHealth,https://www.crunchbase.com/organization/gohealth-2,Biotechnology,,,,,,,
Lingrove,https://www.crunchbase.com/organization/lingrove,"Industrial Engineering, Mechanical Engineering",2,1,Seed,,Seed,,
VitroLabs,https://www.crunchbase.com/organization/vitrolabs,3D Technology,2,1,Seed,,Seed,,
BioNascent,https://www.crunchbase.com/organization/bionascent,"Information Services, News",2,1,Seed,,Seed,,
"Onconetics Pharmaceuticals, Inc.",https://www.crunchbase.com/organization/onconetics-pharmaceuticals-inc,"Medical, Pharmaceutical",2,1,Seed,,Seed,,
Pareto Biotechnologies,https://www.crunchbase.com/organization/pareto-biotechnologies,Biotechnology,1,1,,,Venture - Series Unknown,,
Arresto BioSciences,https://www.crunchbase.com/organization/arresto-biosciences,"Health Care, Information Technology and Software",,,M&A,,,,
Triage Consulting Group,https://www.crunchbase.com/organization/triage-consulting-group,Biotechnology,,,,,,,
ProMab Biotechnologies Inc,https://www.crunchbase.com/organization/promab-biotechnologies-inc,Biotechnology,,,,,,,
VTT Technical Research Centre of Finland,https://www.crunchbase.com/organization/vtt,"Clean Energy, Information Technology, Internet, Telecommunications",,,,,,,
SynBioBeta,https://www.crunchbase.com/organization/synbiobeta,Biotechnology,,,,,,,
Mezomax,https://www.crunchbase.com/organization/mezomax,"Health Care, Medical",2,1,Seed,,Seed,,
Engineering in Medicine & Biology ,https://www.crunchbase.com/organization/engineering-in-medicine-and-biology,"Association, Communities, Life Science, Medical, Personal Health",,1,Seed,,Seed,,
PhysioCue,https://www.crunchbase.com/organization/physiocue,"Health Care, Information Technology and Software",3,2,,,Venture - Series Unknown,,
Finesse Solutions,https://www.crunchbase.com/organization/finesse-solutions,Biotechnology,,,M&A,,,,
Curium,https://www.crunchbase.com/organization/curium,"Consulting, Market Research",,,,,,,
Unite Genomics,https://www.crunchbase.com/organization/unite-genomics,"Health Care, Medical",,,,,,,
Trianni,https://www.crunchbase.com/organization/trianni,Biotechnology,,,,,,,
amunix,https://www.crunchbase.com/organization/amunix-2,"Information Technology and Software, Therapeutics",,,,,,,
BayBio,https://www.crunchbase.com/organization/baybio,"Health Care, Medical",,,,,,,
Prospira PainCare,https://www.crunchbase.com/organization/prospira-paincare,"Health Care, Hospital",,,,,,,
MDS Analytical Technologies,https://www.crunchbase.com/organization/mds,Biotechnology,,,M&A,,,,
Amaryllis Nucleics,https://www.crunchbase.com/organization/amaryllis-nucleics,Biotechnology,2,1,Seed,,Seed,,
Pheromyn,https://www.crunchbase.com/organization/pheromyn,"Agriculture, Life Science",2,2,Seed,,Convertible Note,,
Vector Laboratories,https://www.crunchbase.com/organization/vector-laboratories,"Health Care, Health Diagnostics",1,1,M&A,,Private Equity,,
Encellin,https://www.crunchbase.com/organization/encellin,Information Technology and Software,1,1,,,Grant,,
Perseid Therapeutics,https://www.crunchbase.com/organization/perseid-therapeutics,Biotechnology,,,,,,,
Redbock ,https://www.crunchbase.com/organization/redbock,"Consulting, Information Technology and Software, Pharmaceutical",,,M&A,,,,
Nanotech Biomachines,https://www.crunchbase.com/organization/nanotech-biomachines,Biotechnology,3,3,Seed,,Seed,,
Clinicai,https://www.crunchbase.com/organization/clinicai,"Artificial Intelligence, Human Computer Interaction, Medical",,,,,,,
Stelvio Oncology,https://www.crunchbase.com/organization/stelvio-oncology,"Medical, Pharmaceutical",2,1,Seed,,Seed,,
Alpha Innotech,https://www.crunchbase.com/organization/alpha-innotech,"Medical, Information Technology and Software",1,1,M&A,,Debt Financing,,
Exogen Bio,https://www.crunchbase.com/organization/exogen-bio,Genetics,,,,,,,
Healthtech Women,https://www.crunchbase.com/organization/healthtech-women,Health Care,,,,,,,
CITRIS Foundry,https://www.crunchbase.com/organization/thefoundry-citris,"Artificial Intelligence, Clean Energy, Genetics, Hardware, Incubators, Machine Learning, Semiconductor, Sensor, Information Technology and Software, Universities",,,,,,,
UBA Biologix,https://www.crunchbase.com/organization/uba-biologix,"Mining, Water Purification",2,1,Seed,,Seed,,
AstRoNA Biotechnologies,https://www.crunchbase.com/organization/astrona-biotechnologies,"Health Care, Pharmaceutical",2,1,Seed,,Seed,,
Genome Surveillance,https://www.crunchbase.com/organization/genome-surveillance,Genetics,2,1,Seed,,Seed,,
Srnalytics,https://www.crunchbase.com/organization/srnalytics,"Health Care, Medical",2,1,Seed,,Seed,,
PointCross Life Sciences,https://www.crunchbase.com/organization/pointcross-life-sciences,Information Technology and Software,,,,,,,
Siolta Therapeutics,https://www.crunchbase.com/organization/siolta-therapeutics,Biotechnology,,,,,,,
Connor Group,https://www.crunchbase.com/organization/connor-group-llc,"Professional Services, Information Technology and Software",,,,,,,
Endura Bio,https://www.crunchbase.com/organization/endura-bio,"Agriculture, Farming",2,1,Seed,,Seed,,
KanaVape,https://www.crunchbase.com/organization/kanavape,"Electronics, Health Care",,,,,,,
SC Labs,https://www.crunchbase.com/organization/sc-labs,Analytics,,,,,,,
Berkeley Biolabs,https://www.crunchbase.com/organization/berkeley-biolabs,Biotechnology,,,,,,,
Bitscopic,https://www.crunchbase.com/organization/bitscopic,"Analytics, Big Data, Clinical Trials, Health Care, Machine Learning",,,,,,,
Evans Analytical Group,https://www.crunchbase.com/organization/evans-analytical-group,Biotechnology,,,,,,,
Spectrum-Dynamics,https://www.crunchbase.com/organization/spectrum-dynamics,"Health Care, Information Technology and Software",,,M&A,,,,
ProteinSimple,https://www.crunchbase.com/organization/proteinsimple-2,Biotechnology,,,M&A,,,,
Aragen Bioscience,https://www.crunchbase.com/organization/aragen-bioscience,Biotechnology,,,M&A,,,,
Monogram Biosciences,https://www.crunchbase.com/organization/monogram-biosciences,Biotechnology,,,M&A,,,,
Stratagene,https://www.crunchbase.com/organization/stratagene,Education,,,M&A,,,,
Meissa Vaccines,https://www.crunchbase.com/organization/meissa-vaccines,Biotechnology,1,1,Seed,,Seed,,
QB3,https://www.crunchbase.com/organization/california-institute-for-quantitative-biosciences,Biotechnology,,,,,,,
DNA2.0,https://www.crunchbase.com/organization/dna2-0,"Genetics, Life Science",,,,,,,
NuLeaf Tech Inc,https://www.crunchbase.com/organization/nuleaf-tech-inc,"Biofuel, Biomass Energy, Clean Energy, CleanTech, Renewable Energy, Sustainability, Waste Management, Water, Water Purification",2,1,,,Convertible Note,,
Quorum Consulting,https://www.crunchbase.com/organization/quorum-consulting,Biotechnology,,,M&A,,,,
Sensory Health Systems,https://www.crunchbase.com/organization/sensory-health-systems,Biotechnology,,,,,,,
Biogenex,https://www.crunchbase.com/organization/biogenex,Manufacturing,,,,,,,
CellSight Technologies,https://www.crunchbase.com/organization/cellsight-technologies,Biotechnology,1,1,,,Venture - Series Unknown,,
Labii Inc.,https://www.crunchbase.com/organization/labii,"Education, Employment",,,,,,,
Cyagen Biosciences,https://www.crunchbase.com/organization/cyagen-biosciences,Biotechnology,,,,,,,
NeuroSyntek,https://www.crunchbase.com/organization/neurosyntek,"Information Technology and Software, Robotics",1,2,,,Equity Crowdfunding,,
Nanosyn,https://www.crunchbase.com/organization/nanosyn,Biotechnology,,,,,,,
Starion Instruments,https://www.crunchbase.com/organization/starion-instruments,Biotechnology,,,M&A,,,,
TechFit,https://www.crunchbase.com/organization/techfit,"3D Technology, Health Care, Manufacturing, Information Technology and Software Devices",,,,,,,
Innovative Labs,https://www.crunchbase.com/organization/innovative-labs,Biotechnology,,,,,,,
Velocity11,https://www.crunchbase.com/organization/velocity11,Life Science,,,M&A,,,,
Applied Immunology,https://www.crunchbase.com/organization/applied-immunology,Information Technology and Software,,,M&A,,,,
Validant,https://www.crunchbase.com/organization/validant,"Manufacturing, Pharmaceutical",,,,,,,
AltaVoice,https://www.crunchbase.com/organization/altavoice,Health Care,,,M&A,,,,
Neocutis,https://www.crunchbase.com/organization/neocutis,"Beauty, Cosmetics, Health Care, Medical",1,1,M&A,,Series A,,
Argonaut Technologies,https://www.crunchbase.com/organization/argonaut-technologies,"Manufacturing, Product Design",,,,,,,
Crystal Bioscience,https://www.crunchbase.com/organization/crystal-bioscience,Pharmaceutical,,,M&A,,,,
CCBR-SYNARC,https://www.crunchbase.com/organization/ccbr-synarc,Biotechnology,1,1,Private Equity,,Private Equity,,
BioVitesse,https://www.crunchbase.com/organization/biovitesse,Biotechnology,,,,,,,
Gladstone Institutes,https://www.crunchbase.com/organization/gladstone-institutes,Biotechnology,,,,,,,
BioCurious,https://www.crunchbase.com/organization/biocurious,Non Profit,,,,,,,
H4Y Corp,https://www.crunchbase.com/organization/h4y-corp,Health Care,,,,,,,
Portaero,https://www.crunchbase.com/organization/portaero,Biotechnology,,,,,,,
Velocity Pharmaceutical Development,https://www.crunchbase.com/organization/velocity-pharmaceutical-development,"Business Development, Pharmaceutical",,,,,,,
Calixa Therapeutics,https://www.crunchbase.com/organization/calixa-therapeutics,Biotechnology,,,M&A,,,,
Axygen,https://www.crunchbase.com/organization/axygen,"Medical, Pharmaceutical",,,M&A,,,,
MaxWell Biosciences,https://www.crunchbase.com/organization/maxwell-biosciences,Biotechnology,,,,,,,
Tacere Therapeutics,https://www.crunchbase.com/organization/tacere-therapeutics,Genetics,1,1,M&A,,Seed,,
Proteolix,https://www.crunchbase.com/organization/proteolix,"Biopharma, Pharmaceutical",,,M&A,,,,
Diartis Pharmaceuticals,https://www.crunchbase.com/organization/diartis-pharmaceuticals,Biotechnology,1,1,,,Venture - Series Unknown,,
Igenica Biotherapeutics - Assets,https://www.crunchbase.com/organization/igenica-biotherapeutics-assets,Biopharma,,,M&A,,,,
Five3 Genomics,https://www.crunchbase.com/organization/five3-genomics,"Analytics, Genetics, Health Care",,,,,,,
Gene Oracle Inc.,https://www.crunchbase.com/organization/gene-oracle-inc,Genetics,,,,,,,
SproutRobot,https://www.crunchbase.com/organization/sproutrobot,"Agriculture, Farming",,,,,,,
Sea Lane Biotechnologies,https://www.crunchbase.com/organization/sea-lane-biotechnologies,Biotechnology,,,M&A,,,,
Tactx Medical,https://www.crunchbase.com/organization/tactx-medical,"Manufacturing, Information Technology and Software",,,M&A,,,,
"Technical Safety Services, Inc.",https://www.crunchbase.com/organization/technical-safety-services-inc,Biotechnology,,,,,,,
Diagnostic BioSystems,https://www.crunchbase.com/organization/diagnostic-biosystems,Biotechnology,1,1,,,Venture - Series Unknown,,
ENGEN Temporal Inc.,https://www.crunchbase.com/organization/engen-temporal-inc,Information Technology,,,,,,,
JointechLabs,https://www.crunchbase.com/organization/jointechlabs,"Health Care, Medical",,,,,,,
iPug,https://www.crunchbase.com/organization/ipug,Biotechnology,1,1,Early Stage Venture,,Series A,,
The Buck Institute,https://www.crunchbase.com/organization/the-buck-institute,"Health Care, Medical, Non Profit",,,,,,,
Sykopomp Industries,https://www.crunchbase.com/organization/sykopomp-industries,"Artificial Intelligence, Education, FinTech, Machine Learning, Natural Language Processing, Search Engine, Virtual Reality",,,,,,,
GenTegra,https://www.crunchbase.com/organization/gentegra-s,Biotechnology,,,,,,,
Amnestix,https://www.crunchbase.com/organization/amnestix,Biotechnology,,,M&A,,,,
OEM Company,https://www.crunchbase.com/organization/oem-company,"Manufacturing, Solar",,,,,,,
PRC Clinical,https://www.crunchbase.com/organization/prc-clinical,Biotechnology,,,,,,,
Premier Biosoft,https://www.crunchbase.com/organization/premier-biosoft,Biotechnology,,,,,,,
Talking20,https://www.crunchbase.com/organization/talking20,"Biopharma, Pharmaceutical",,,,,,,
Athleticode,https://www.crunchbase.com/organization/athleticode-inc,"Genetics, Health Diagnostics",,,,,,,
NoGlo,https://www.crunchbase.com/organization/noglo,Dietary Supplements,,,,,,,
1st Human Therapeutics,https://www.crunchbase.com/organization/1st-human-therapeutics,Biotechnology,,,,,,,
Nuvelo,https://www.crunchbase.com/organization/nuvelo,Biotechnology,,,,,,,
Flownamics,https://www.crunchbase.com/organization/flownamics,Biotechnology,,,,,,,
Signosis,https://www.crunchbase.com/organization/signosis,Analytics,,,,,,,
ConcentRx,https://www.crunchbase.com/organization/concentrx,Biotechnology,1,1,,,Venture - Series Unknown,,
Atech Flash Technology,https://www.crunchbase.com/organization/atech-flash-technology,Biotechnology,,,,,,,
GeneticMe,https://www.crunchbase.com/organization/geneticme,Genetics,,,,,,,
Hybritech Incorporated,https://www.crunchbase.com/organization/hybritech-incorporated,Medical,,,,,,,
List Biological Laboratories,https://www.crunchbase.com/organization/list-biological-laboratories,Biotechnology,,,,,,,
Dark Horse Consulting,https://www.crunchbase.com/organization/dark-horse-consulting,Biotechnology,,,,,,,
Assembly Pharma,https://www.crunchbase.com/organization/assembly-pharma,Biotechnology,1,1,,,Venture - Series Unknown,,
BiosPacific,https://www.crunchbase.com/organization/biospacific,Health Care,,,M&A,,,,
Oculex Pharmaceuticals,https://www.crunchbase.com/organization/oculex-pharmaceuticals,"Health Care, Pharmaceutical",1,1,M&A,,Series B,,
JGB BioPharma Consulting,https://www.crunchbase.com/organization/jgb-biopharma-consulting,"Consulting, Health Diagnostics, Project Management, Recruiting",,,,,,,
"MicroCures, Inc",https://www.crunchbase.com/organization/microcure-ltd,"Health Care, Medical",,,,,,,
Children's Hospital Oakland Research Institute,https://www.crunchbase.com/organization/childrens-hospital-oakland-research-institute,Medical,,,,,,,
EveryLife Foundation for Rare Diseases,https://www.crunchbase.com/organization/everylife-foundation-for-rare-diseases,Biotechnology,,,,,,,
Berkeley HealthLab,https://www.crunchbase.com/organization/berkeley-healthlab,Biotechnology,,,M&A,,,,
Context Medical,https://www.crunchbase.com/organization/context-medical,Biotechnology,,,,,,,
Ciphergen Biosystems,https://www.crunchbase.com/organization/ciphergen-biosystems,Medical,1,1,,,Undisclosed,,
Young Dental SF,https://www.crunchbase.com/organization/young-dental-sf,Biotechnology,,,,,,,
"Abmaxis, Inc.",https://www.crunchbase.com/organization/abmaxis-inc,Biotechnology,,,M&A,,,,
Female Algorithm Technologies,https://www.crunchbase.com/organization/female-algorithm-technologies,Biotechnology,,,,,,,
Imaging Therapeutics,https://www.crunchbase.com/organization/imaging-therapeutics,"Medical, Therapeutics",,,,,,,
Lumos,https://www.crunchbase.com/organization/lumos-3,"Artificial Intelligence, Machine Learning",,,,,,,
Hawaii Medical,https://www.crunchbase.com/organization/hawaii-medical,Biotechnology,,,M&A,,,,
Emiliem,https://www.crunchbase.com/organization/emiliem,Medical,1,1,,,Venture - Series Unknown,,
Genesoft Pharmaceuticals,https://www.crunchbase.com/organization/genesoft-pharmaceuticals,Medical,,,M&A,,,,
GenPharm International,https://www.crunchbase.com/organization/genpharm-international,Biotechnology,,,,,,,
StemPar Sciences,https://www.crunchbase.com/organization/stempar-sciences,Biotechnology,1,1,Private Equity,,Private Equity,,
"Prolinx, Inc.",https://www.crunchbase.com/organization/prolinx-inc,Manufacturing,,,,,,,
ES Cell International,https://www.crunchbase.com/organization/es-cell-international,"Clinical Trials, Therapeutics",,,,,,,
3DTL,https://www.crunchbase.com/organization/3dtl,Biotechnology,,,,,,,
Amarantus Diagnostics,https://www.crunchbase.com/organization/amarantus-diagnostics,"Health Care, Life Science",,,M&A,,,,
Artemis Staffing,https://www.crunchbase.com/organization/artemis-staffing,Recruiting,,,,,,,
ProTrials Research,https://www.crunchbase.com/organization/protrials-research,Biotechnology,,,,,,,
LRIG,https://www.crunchbase.com/organization/lrig,"Association, Biopharma, Industrial Automation, Life Science, Pharmaceutical, Robotics",,,,,,,
Nuvelution Pharma,https://www.crunchbase.com/organization/nuvelution-pharma,"Life Science, Medical, Pharmaceutical",2,1,,,Venture - Series Unknown,,
Cool Lab,https://www.crunchbase.com/organization/cool-lab,Biotechnology,,,M&A,,,,
Bioscience Advisors,https://www.crunchbase.com/organization/bioscience-advisors,Biotechnology,,,,,,,
Finney Capita,https://www.crunchbase.com/organization/finney-capita,Biotechnology,,,,,,,
GeneMachines,https://www.crunchbase.com/organization/genemachines,Biotechnology,,,M&A,,,,
Clarity Synergy Solutions,https://www.crunchbase.com/organization/clarity-synergy-solutions,"Bioinformatics, Wearables",,,,,,,
Nektar - Therapeutics pulmonary business,https://www.crunchbase.com/organization/nektar-therapeutics-pulmonary-business,Biotechnology,,,M&A,,,,
INTRO Life Sciences,https://www.crunchbase.com/organization/intro-life-sciences,Biotechnology,,,,,,,
Metra Biosystems,https://www.crunchbase.com/organization/metra-biosystems,Health Care,,,M&A,,,,
Clinimetrics Research Associates,https://www.crunchbase.com/organization/clinimetrics-research-associates,Biotechnology,,,,,,,
Dolhun Clinic,https://www.crunchbase.com/organization/dolhun-clinic,Biotechnology,,,,,,,
Oxigene Inc,https://www.crunchbase.com/organization/oxigene-inc,Biotechnology,,,,,,,
Bay Search Partners,https://www.crunchbase.com/organization/bay-search-partners,"Consulting, Emerging Markets, Human Resources, Recruiting, Search Engine",,,,,,,
Own The Arena Consulting,https://www.crunchbase.com/organization/own-the-arena-consulting,Biotechnology,,,,,,,
Polymer Technology Group,https://www.crunchbase.com/organization/polymer-technology-group,"Clinical Trials, Manufacturing",,,M&A,,,,
"Pacific Research Associates, Inc.",https://www.crunchbase.com/organization/pacific-research-associates-inc,Health Care,,,M&A,,,,
Metaxen LLC,https://www.crunchbase.com/organization/metaxen-llc,Biotechnology,,,M&A,,,,
Ciphergen Biosystems - ProteinChip Systems Business,https://www.crunchbase.com/organization/ciphergen-biosystems-proteinchip-systems-business,Biotechnology,,,M&A,,,,
Vessel Visualization,https://www.crunchbase.com/organization/vessel-visualization,Health Care,,,,,,,
DubbelHelix,https://www.crunchbase.com/organization/dubbelhelix,Health Care,,,,,,,
